Spieler,Verein,Liga,Competition,Position,Markt,Alter,Altersband,Datenquelle,PSV-99,Speed Flag,Speed Score,Δ PSV-99,HSR Distance P60BIP,Sprint Distance P60BIP,HI Distance BIP P60BIP,Explosive Acceleration to Sprint Count P60BIP,BIP Score,BIP Level,Δ HSR BIP,HSR Distance OTIP P30OTIP,Sprint Distance OTIP P30OTIP,HI Distance OTIP P30OTIP,Explosive Acceleration to Sprint Count OTIP P30OTIP,OTIP Score,OTIP Pass,Δ HSR OTIP,TOP 3 Time to HSR,TOP 3 Time to HSR post-COD,TOP 3 Time to Sprint,TOP 3 Time to 505 around 90,Burst Score,Δ T→HSR,Physical Score,IFI Percentile,IFI Label,Final Tier,Pct_Territorial dominance,Lbl_Territorial dominance,Pct_Composure,Lbl_Composure,Pct_Aerial threat,Lbl_Aerial threat,Pct_Intelligent defence,Lbl_Intelligent defence,Pct_Involvement,Lbl_Involvement,Pct_Progression,Lbl_Progression,Pct_Chance prevention,Lbl_Chance prevention,Pct_Defensive heading,Lbl_Defensive heading,Pct_Active defence,Lbl_Active defence,Pct_Providing teammates,Lbl_Providing teammates,Pct_Passing quality,Lbl_Passing quality,Pct_Run quality,Lbl_Run quality,Pct_Box threat,Lbl_Box threat,Pct_Poaching,Lbl_Poaching,Pct_Finishing,Lbl_Finishing,Pct_Hold-up play,Lbl_Hold-up play,Pct_Pressing,Lbl_Pressing,Pct_Dribbling,Lbl_Dribbling,Minuten,Spielertyp
Matteo Mehl,Kickers Offenbach U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,18,U21,vollständig,27.42,—,0.0,-1.12,961.45,181.79,1143.24,0.14,2.0,➡ MEDIUM,288.5,523.17,84.98,608.15,0.13,2.0,✅ YES,156.1,0.68,1.01,,1.83,1.0,0.02,5.5,0.579,AVERAGE,🔴 RISIKO,,,,,,,0.468,BELOW,0.451,BELOW,0.876,STRONG,,,,,0.516,AVERAGE,0.389,BELOW,0.636,AVERAGE,,,0.414,BELOW,,,,,,,,,,,826,Spielmacher
David Heindl,Bayern München II,RL Bayern,GER - Regionalliga Bayern,Central Defender,DACH,22,U23,vollständig,29.18,🟠 MEDIUM,1.0,0.64,449.97,137.58,587.55,0.29,0.0,🔽 LOW,-223.0,362.26,113.33,475.59,0.27,1.0,❌ NO,-4.8,0.61,0.65,1.36,1.95,4.0,-0.05,5.5,0.912,ELITE,🔴 RISIKO,0.833,STRONG,0.51,AVERAGE,0.992,ELITE,0.92,ELITE,0.813,STRONG,0.267,BELOW,0.356,BELOW,0.969,ELITE,0.947,ELITE,,,,,,,,,,,,,,,,,,,2229,Kopfballstarker IV
Joshua Eze,Verl,3.Liga DE,GER - 3. Liga,Midfielder,DACH,23,U23,vollständig,28.13,—,0.0,-0.41,660.54,154.14,814.68,0.22,0.0,🔽 LOW,-12.4,487.07,148.52,635.6,0.3,3.0,✅ YES,120.0,0.61,0.66,1.39,1.99,2.0,-0.05,5.5,0.624,AVERAGE,🔴 RISIKO,,,,,,,0.96,ELITE,0.899,STRONG,0.335,BELOW,,,,,0.952,ELITE,0.276,BELOW,0.404,BELOW,,,0.083,WEAK,,,,,,,,,,,1906,Defensivmittelfeld
Naatan Skyttä,Kaiserslautern,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Midfielder,DACH,24,24+,vollständig,28.57,🟠 MEDIUM,1.0,0.03,693.27,161.1,854.37,1.62,2.0,➡ MEDIUM,20.3,298.83,53.95,352.78,0.94,1.0,❌ NO,-68.2,0.77,,,2.41,0.0,0.11,5.5,0.433,BELOW,🔴 RISIKO,,,,,,,0.021,WEAK,0.208,WEAK,0.609,AVERAGE,,,,,0.025,WEAK,0.785,STRONG,0.75,STRONG,,,0.941,ELITE,,,,,,,,,,,1282,Spielmacher
Janne Sietan,Waldhof Mannheim,3.Liga DE,GER - 3. Liga,Midfielder,DACH,24,24+,vollständig,27.08,—,0.0,-1.46,688.76,127.87,816.63,0.33,1.0,🔽 LOW,15.8,469.91,98.51,568.41,0.2,2.0,✅ YES,102.9,0.61,0.65,1.42,1.78,3.0,-0.05,5.5,0.749,AVERAGE,🔴 RISIKO,,,,,,,0.82,STRONG,0.844,STRONG,0.664,AVERAGE,,,,,0.766,STRONG,0.326,BELOW,0.666,AVERAGE,,,0.203,WEAK,,,,,,,,,,,2714,Spielmacher
Kevin Vogt,Bochum,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Central Defender,DACH,35,24+,vollständig,29.74,🟠 MEDIUM,1.0,1.2,440.72,153.41,594.14,0.55,0.0,🔽 LOW,-232.2,300.56,112.66,413.23,0.56,2.0,✅ YES,-66.5,0.7,0.8,,1.89,1.0,0.04,5.5,0.353,BELOW,🔴 RISIKO,0.411,BELOW,0.381,BELOW,0.33,BELOW,0.242,WEAK,0.837,STRONG,0.674,AVERAGE,0.063,WEAK,0.684,AVERAGE,0.281,BELOW,,,,,,,,,,,,,,,,,,,663,Spielaufbauer
Luca Herrmann,Dynamo Dresden,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Midfielder,DACH,27,24+,vollständig,26.91,—,0.0,-1.63,1015.82,164.69,1180.51,0.0,2.0,➡ MEDIUM,342.9,593.26,81.23,674.49,0.0,2.0,✅ YES,226.2,0.8,0.92,1.78,1.97,1.0,0.14,5.5,0.224,WEAK,🔴 RISIKO,,,,,,,0.202,WEAK,0.242,WEAK,0.412,BELOW,,,,,0.191,WEAK,0.503,AVERAGE,0.527,AVERAGE,,,0.525,AVERAGE,,,,,,,,,,,943,Allrounder
James Ojiekhai,SGV Freiberg U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,19,U21,vollständig,28.07,—,0.0,-0.47,926.54,126.01,1052.55,0.0,2.0,➡ MEDIUM,253.6,513.55,78.45,592.0,0.0,2.0,✅ YES,146.5,0.73,0.66,,2.16,1.0,0.07,5.5,0.62,AVERAGE,🔴 RISIKO,,,,,,,0.745,AVERAGE,0.738,AVERAGE,0.287,BELOW,,,,,0.742,AVERAGE,0.673,AVERAGE,0.257,BELOW,,,0.44,BELOW,,,,,,,,,,,241,Defensivmittelfeld
Lex-Tyger Lobinger,MSV Duisburg,3.Liga DE,GER - 3. Liga,Striker,DACH,27,24+,vollständig,29.72,🟠 MEDIUM,1.0,1.18,552.85,227.23,780.09,1.23,2.0,➡ MEDIUM,-120.1,232.65,81.87,314.52,0.08,0.0,❌ NO,-134.4,0.68,0.7,1.36,1.87,3.0,0.02,5.5,0.698,AVERAGE,🔴 RISIKO,,,,,0.726,AVERAGE,,,0.255,BELOW,,,,,,,,,0.549,AVERAGE,,,0.658,AVERAGE,,,0.576,AVERAGE,0.492,BELOW,0.81,STRONG,0.509,AVERAGE,,,1204,Kopfballstürmer
Albano Gashi,Buchbach,RL Bayern,GER - Regionalliga Bayern,Midfielder,DACH,31,24+,vollständig,28.43,—,0.0,-0.11,759.77,213.23,973.0,0.9,4.0,🔼 HIGH,86.8,366.1,107.63,473.73,0.21,1.0,❌ NO,-0.9,0.71,0.73,1.53,2.02,0.0,0.05,5.5,0.576,AVERAGE,🔴 RISIKO,,,,,,,0.435,BELOW,0.343,BELOW,0.892,STRONG,,,,,0.247,WEAK,0.648,AVERAGE,0.79,STRONG,,,0.381,BELOW,,,,,,,,,,,1480,Spielmacher
Mike Dave Bitye Azo'o,Tennis Borussia Berlin U17,U17 BL,GER - U17 Bundesliga,Winger,DACH,17,U21,vollständig,28.93,🟠 MEDIUM,1.0,0.39,711.99,214.03,926.02,0.0,3.0,🔼 HIGH,39.0,334.77,74.22,408.99,0.0,0.0,❌ NO,-32.3,0.66,0.93,,2.11,1.0,0.0,5.5,0.462,BELOW,🔴 RISIKO,,,,,,,,,0.288,BELOW,,,,,,,,,0.253,BELOW,0.3,BELOW,0.569,AVERAGE,0.6,AVERAGE,,,0.607,AVERAGE,,,0.791,STRONG,0.494,BELOW,411,Box-Threat
Lars Lukas Mai,Lugano,SUI SL,SUI - Super League,Central Defender,DACH,26,24+,vollständig,28.63,🟠 MEDIUM,1.0,0.09,338.07,99.26,437.33,0.53,0.0,🔽 LOW,-334.9,261.87,83.21,345.08,0.49,1.0,❌ NO,-105.2,0.58,0.63,1.35,1.95,4.0,-0.08,5.5,0.851,STRONG,🔴 RISIKO,0.499,BELOW,0.97,ELITE,0.86,STRONG,0.844,STRONG,0.75,STRONG,0.327,BELOW,0.261,BELOW,0.796,STRONG,0.889,STRONG,,,,,,,,,,,,,,,,,,,2504,Kopfballstarker IV
Moritz Hannemann,Energie Cottbus,3.Liga DE,GER - 3. Liga,Winger,DACH,28,24+,vollständig,28.89,🟠 MEDIUM,1.0,0.35,770.85,250.27,1021.12,0.19,3.0,🔼 HIGH,97.9,364.6,98.08,462.68,0.0,0.0,❌ NO,-2.4,0.79,0.89,,1.96,1.0,0.13,5.5,0.351,BELOW,🔴 RISIKO,,,,,,,,,0.501,AVERAGE,,,,,,,,,0.149,WEAK,0.119,WEAK,0.212,WEAK,0.743,AVERAGE,,,0.847,STRONG,,,0.778,STRONG,0.105,WEAK,1184,Box-Threat
Ben Smolka,MSV Duisburg U17,U17 BL,GER - U17 Bundesliga,Midfielder,DACH,17,U21,vollständig,27.47,—,0.0,-1.07,652.29,151.18,803.47,0.32,0.0,🔽 LOW,-20.7,401.76,103.04,504.8,0.0,3.0,✅ YES,34.7,0.61,0.7,1.49,1.98,2.0,-0.05,5.5,0.34,BELOW,🔴 RISIKO,,,,,,,0.7,AVERAGE,0.284,BELOW,0.286,BELOW,,,,,0.466,BELOW,0.536,AVERAGE,0.221,WEAK,,,0.529,AVERAGE,,,,,,,,,,,958,Defensivmittelfeld
Keron Hagemann,Borussia Dortmund U17,U17 BL,GER - U17 Bundesliga,Striker,DACH,16,U21,vollständig,26.58,—,0.0,-1.96,1120.61,165.31,1285.93,0.0,2.0,➡ MEDIUM,447.7,826.13,101.17,927.3,0.0,2.0,✅ YES,459.1,0.69,0.77,,1.94,1.0,0.03,5.5,0.323,BELOW,🔴 RISIKO,,,,,0.498,BELOW,,,0.287,BELOW,,,,,,,,,0.009,WEAK,,,0.129,WEAK,,,0.394,BELOW,0.743,AVERAGE,0.901,ELITE,0.602,AVERAGE,,,368,Abschlussspieler
Leonard Seitz,Babelsberg U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,19,U21,vollständig,28.5,—,0.0,-0.04,693.2,208.18,901.38,1.11,4.0,🔼 HIGH,20.2,273.49,73.19,346.68,1.1,1.0,❌ NO,-93.6,0.68,,,2.37,0.0,0.02,5.5,0.922,ELITE,🔴 RISIKO,0.958,ELITE,,,,,0.599,AVERAGE,0.425,BELOW,0.866,STRONG,0.982,ELITE,,,0.456,BELOW,0.807,STRONG,0.591,AVERAGE,0.952,ELITE,,,,,,,,,,,,,184,Flügelläufer
Milian  Habermehl,Barockstadt Fulda-Lehnerz,RL Südwest,GER - Regionalliga Südwest,Central Defender,DACH,23,U23,vollständig,29.61,🟠 MEDIUM,1.0,1.07,400.18,152.69,552.87,0.35,0.0,🔽 LOW,-272.8,272.21,111.63,383.83,0.29,1.0,❌ NO,-94.8,0.61,0.69,1.25,1.85,4.0,-0.05,5.5,0.491,BELOW,🔴 RISIKO,0.477,BELOW,0.756,STRONG,0.196,WEAK,0.638,AVERAGE,0.367,BELOW,0.194,WEAK,0.744,AVERAGE,0.558,AVERAGE,0.563,AVERAGE,,,,,,,,,,,,,,,,,,,1893,Defensivstark
Jupp Mißbach,Wolfsburg U17,U17 BL,GER - U17 Bundesliga,Winger,DACH,17,U21,vollständig,28.26,—,0.0,-0.28,714.48,233.05,947.53,1.35,4.0,🔼 HIGH,41.5,290.19,84.53,374.72,0.38,1.0,❌ NO,-76.9,0.73,0.84,1.45,2.13,0.0,0.07,5.5,0.893,STRONG,🔴 RISIKO,,,,,,,,,0.907,ELITE,,,,,,,,,0.874,STRONG,0.765,STRONG,0.491,BELOW,0.633,AVERAGE,,,0.497,BELOW,,,0.836,STRONG,0.745,AVERAGE,625,Dribbler + Box
Exequiel Alejandro Palacios,Bayer Leverkusen,BL DE,GER - Bundesliga,Midfielder,DACH,28,24+,vollständig,27.39,—,0.0,-1.15,675.95,165.82,841.77,0.27,1.0,🔽 LOW,3.0,490.72,161.39,652.11,0.16,3.0,✅ YES,123.7,0.73,0.74,2.04,2.23,0.0,0.07,5.5,0.957,ELITE,🔴 RISIKO,,,,,,,0.965,ELITE,0.999,ELITE,0.942,ELITE,,,,,0.891,STRONG,0.493,BELOW,0.986,ELITE,,,0.193,WEAK,,,,,,,,,,,767,Spielmacher
Mauro Hämmerle,Augsburg U19,U19 BL,GER - U19 Bundesliga,Striker,DACH,19,U21,vollständig,27.15,—,0.0,-1.39,679.34,156.92,836.25,0.0,1.0,🔽 LOW,6.4,444.77,133.95,578.72,0.0,3.0,✅ YES,77.7,0.9,,,2.47,0.0,0.24,5.5,0.532,AVERAGE,🔴 RISIKO,,,,,0.19,WEAK,,,0.471,BELOW,,,,,,,,,0.379,BELOW,,,0.051,WEAK,,,0.672,AVERAGE,0.597,AVERAGE,0.903,ELITE,0.839,STRONG,,,729,Lauerstürmer
Leopold  Schmid,Bayern München U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,18,U21,vollständig,27.39,—,0.0,-1.15,567.61,136.21,703.82,0.31,0.0,🔽 LOW,-105.3,471.52,131.56,603.08,0.2,3.0,✅ YES,104.5,0.64,0.66,1.53,2.08,2.0,-0.02,5.5,0.862,STRONG,🔴 RISIKO,,,,,,,0.95,ELITE,0.962,ELITE,0.424,BELOW,,,,,0.988,ELITE,0.71,AVERAGE,0.407,BELOW,,,0.251,BELOW,,,,,,,,,,,685,Defensivmittelfeld
Johannes Sabah,BW Lohne,RL Nord,GER - Regionalliga Nord,Central Defender,DACH,29,24+,vollständig,28.72,🟠 MEDIUM,1.0,0.18,501.78,163.68,665.46,0.5,0.0,🔽 LOW,-171.2,311.59,100.61,412.21,0.41,1.0,❌ NO,-55.5,0.57,0.71,1.09,1.97,4.0,-0.09,5.5,0.584,AVERAGE,🔴 RISIKO,0.35,BELOW,0.87,STRONG,0.417,BELOW,0.582,AVERAGE,0.729,AVERAGE,0.514,AVERAGE,0.278,BELOW,0.42,BELOW,0.74,AVERAGE,,,,,,,,,,,,,,,,,,,1922,Allrounder
Maël  Corboz,Arminia Bielefeld,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Midfielder,DACH,32,24+,vollständig,26.76,—,0.0,-1.78,1062.04,171.94,1233.98,0.16,2.0,➡ MEDIUM,389.1,531.9,89.42,621.32,0.08,2.0,✅ YES,164.8,0.74,0.81,1.56,1.94,1.0,0.08,5.5,0.338,BELOW,🔴 RISIKO,,,,,,,0.392,BELOW,0.085,WEAK,0.555,AVERAGE,,,,,0.107,WEAK,0.575,AVERAGE,0.563,AVERAGE,,,0.731,AVERAGE,,,,,,,,,,,3006,Allrounder
Han-Noah Massengo,Augsburg,BL DE,GER - Bundesliga,Midfielder,DACH,25,24+,vollständig,28.28,—,0.0,-0.26,666.82,170.58,837.4,0.72,1.0,🔽 LOW,-6.1,375.67,93.89,469.56,0.42,2.0,✅ YES,8.6,0.57,0.61,1.21,1.99,3.0,-0.09,5.5,0.747,AVERAGE,🔴 RISIKO,,,,,,,0.552,AVERAGE,0.794,STRONG,0.818,STRONG,,,,,0.499,BELOW,0.421,BELOW,0.785,STRONG,,,0.412,BELOW,,,,,,,,,,,2522,Spielmacher
Sejoba  Barnes,MSV Duisburg U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,19,U21,vollständig,29.4,🟠 MEDIUM,1.0,0.86,563.07,209.24,772.31,0.54,1.0,🔽 LOW,-109.9,334.57,108.63,443.19,0.29,1.0,❌ NO,-32.5,0.78,0.72,1.35,2.03,2.0,0.12,5.5,0.054,WEAK,🔴 RISIKO,,,,,,,0.558,AVERAGE,0.061,WEAK,0.12,WEAK,,,,,0.597,AVERAGE,0.082,WEAK,0.059,WEAK,,,0.206,WEAK,,,,,,,,,,,413,Allrounder
Jan Seliger,Schott Mainz U19,U19 BL,GER - U19 Bundesliga,Striker,DACH,19,U21,vollständig,29.43,🟠 MEDIUM,1.0,0.89,648.29,194.27,842.56,0.74,2.0,➡ MEDIUM,-24.7,286.41,68.88,355.29,0.15,0.0,❌ NO,-80.6,0.65,0.66,1.22,2.04,3.0,-0.01,5.5,0.674,AVERAGE,🔴 RISIKO,,,,,0.152,WEAK,,,0.774,STRONG,,,,,,,,,0.751,STRONG,,,0.517,AVERAGE,,,0.439,BELOW,0.781,STRONG,0.59,AVERAGE,0.521,AVERAGE,,,565,Abschlussspieler
Robert Wagner,Dynamo Dresden,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Midfielder,DACH,23,U23,vollständig,26.52,—,0.0,-2.02,775.78,120.28,896.06,0.0,2.0,➡ MEDIUM,102.8,503.15,78.19,581.34,0.0,2.0,✅ YES,136.1,0.77,0.82,,1.84,1.0,0.11,5.5,0.278,BELOW,🔴 RISIKO,,,,,,,0.494,BELOW,0.648,AVERAGE,0.22,WEAK,,,,,0.479,BELOW,0.278,BELOW,0.216,WEAK,,,0.451,BELOW,,,,,,,,,,,1189,Allrounder
Valdrin Mustafa,Kickers Offenbach,RL Südwest,GER - Regionalliga Südwest,Striker,DACH,28,24+,vollständig,28.99,🟠 MEDIUM,1.0,0.45,674.79,202.3,877.09,0.5,3.0,🔼 HIGH,1.8,324.69,68.65,393.33,0.0,0.0,❌ NO,-42.4,0.7,0.77,1.54,1.78,1.0,0.04,5.5,0.223,WEAK,🔴 RISIKO,,,,,0.511,AVERAGE,,,0.487,BELOW,,,,,,,,,0.179,WEAK,,,0.22,WEAK,,,0.718,AVERAGE,0.405,BELOW,0.375,BELOW,0.341,BELOW,,,901,Lauerstürmer
Jonas Föhrenbach,Heidenheim,BL DE,GER - Bundesliga,Fullback,DACH,30,24+,vollständig,29.5,🟠 MEDIUM,1.0,0.96,473.25,145.87,619.12,0.5,0.0,🔽 LOW,-199.7,338.54,107.56,446.1,0.49,2.0,✅ YES,-28.5,0.67,0.72,1.46,2.24,1.0,0.01,5.5,0.111,WEAK,🔴 RISIKO,0.147,WEAK,,,,,0.105,WEAK,0.143,WEAK,0.498,BELOW,0.155,WEAK,,,0.102,WEAK,0.718,AVERAGE,0.592,AVERAGE,0.12,WEAK,,,,,,,,,,,,,1793,Allrounder
Paul Dick,Kaiserslautern U17,U17 BL,GER - U17 Bundesliga,Fullback,DACH,17,U21,vollständig,27.9,—,0.0,-0.64,583.67,203.81,787.48,0.52,1.0,🔽 LOW,-89.3,411.94,120.68,532.62,0.0,3.0,✅ YES,44.9,0.69,,,2.1,0.0,0.03,5.5,0.575,AVERAGE,🔴 RISIKO,0.712,AVERAGE,,,,,0.643,AVERAGE,0.536,AVERAGE,0.771,STRONG,0.118,WEAK,,,0.577,AVERAGE,0.3,BELOW,0.605,AVERAGE,0.513,AVERAGE,,,,,,,,,,,,,1431,Aufbauspieler
Christoph Ehlich,Unterhaching,RL Bayern,GER - Regionalliga Bayern,Fullback,DACH,27,24+,vollständig,28.6,🟠 MEDIUM,1.0,0.06,636.29,172.19,808.47,0.69,1.0,🔽 LOW,-36.7,358.02,79.51,437.52,0.79,1.0,❌ NO,-9.0,0.59,0.7,1.79,2.09,2.0,-0.07,5.5,0.984,ELITE,🔴 RISIKO,0.843,STRONG,,,,,0.826,STRONG,0.97,ELITE,0.788,STRONG,0.961,ELITE,,,0.856,STRONG,0.686,AVERAGE,0.892,STRONG,0.72,AVERAGE,,,,,,,,,,,,,715,Offensiver AV
Vasco Walz,Bahlinger SC,RL Südwest,GER - Regionalliga Südwest,Midfielder,DACH,22,U23,vollständig,28.86,🟠 MEDIUM,1.0,0.32,642.43,214.14,856.57,0.23,2.0,➡ MEDIUM,-30.5,348.45,111.08,459.53,0.0,1.0,❌ NO,-18.6,0.71,,,1.99,0.0,0.05,5.5,0.64,AVERAGE,🔴 RISIKO,,,,,,,0.411,BELOW,0.823,STRONG,0.695,AVERAGE,,,,,0.522,AVERAGE,0.508,AVERAGE,0.563,AVERAGE,,,0.423,BELOW,,,,,,,,,,,449,Vorwärtsdribbler
Jens Dalsgaard Stage,Werder Bremen,BL DE,GER - Bundesliga,Midfielder,DACH,30,24+,vollständig,27.31,—,0.0,-1.23,766.05,140.22,906.27,0.14,2.0,➡ MEDIUM,93.1,436.46,67.8,504.25,0.15,2.0,✅ YES,69.4,0.69,0.78,1.49,1.93,1.0,0.03,5.5,0.573,AVERAGE,🔴 RISIKO,,,,,,,0.447,BELOW,0.459,BELOW,0.326,BELOW,,,,,0.354,BELOW,0.635,AVERAGE,0.613,AVERAGE,,,0.899,STRONG,,,,,,,,,,,2226,Passspieler
Kai Westerhoff,BW Lohne,RL Nord,GER - Regionalliga Nord,Central Defender,DACH,32,24+,vollständig,28.78,🟠 MEDIUM,1.0,0.24,426.1,149.38,575.47,0.95,1.0,🔽 LOW,-246.8,265.83,80.71,346.54,0.58,1.0,❌ NO,-101.2,0.64,0.8,1.25,2.01,2.0,-0.02,5.5,0.115,WEAK,🔴 RISIKO,0.37,BELOW,0.303,BELOW,0.14,WEAK,0.344,BELOW,0.106,WEAK,0.748,AVERAGE,0.257,BELOW,0.128,WEAK,0.228,WEAK,,,,,,,,,,,,,,,,,,,1038,Spielaufbauer
Abdoul Karim Conté,WSPG Wels,AUT 2.L,AUT - 2. Liga,Midfielder,DACH,27,24+,vollständig,26.45,—,0.0,-2.09,701.59,92.91,794.49,0.17,1.0,🔽 LOW,28.6,551.85,63.68,615.53,0.09,2.0,✅ YES,184.8,0.63,0.7,1.48,1.92,3.0,-0.03,5.5,0.601,AVERAGE,🔴 RISIKO,,,,,,,0.829,STRONG,0.874,STRONG,0.592,AVERAGE,,,,,0.933,ELITE,0.073,WEAK,0.476,BELOW,,,0.039,WEAK,,,,,,,,,,,1394,Defensivmittelfeld
Johann Deumi Nappi,Alemannia Aachen U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,19,U21,vollständig,29.13,🟠 MEDIUM,1.0,0.59,478.89,146.04,624.93,0.71,1.0,🔽 LOW,-194.1,259.83,86.4,346.23,0.61,1.0,❌ NO,-107.2,0.64,0.76,1.22,2.01,2.0,-0.02,5.5,0.815,STRONG,🔴 RISIKO,0.543,AVERAGE,,,,,0.962,ELITE,0.922,ELITE,0.55,AVERAGE,0.999,ELITE,,,0.948,ELITE,0.312,BELOW,0.307,BELOW,0.409,BELOW,,,,,,,,,,,,,429,Defensiver AV
Thibault Maspimby,Bayern München U17,U17 BL,GER - U17 Bundesliga,Central Defender,DACH,16,U21,vollständig,27.47,—,0.0,-1.07,594.91,108.62,703.52,0.65,1.0,🔽 LOW,-78.0,499.38,99.04,598.42,0.84,3.0,✅ YES,132.3,0.67,0.78,,2.03,0.0,0.01,5.5,0.887,STRONG,🔴 RISIKO,0.95,ELITE,0.987,ELITE,0.271,BELOW,0.976,ELITE,0.725,AVERAGE,0.461,BELOW,0.989,ELITE,0.093,WEAK,0.943,ELITE,,,,,,,,,,,,,,,,,,,491,Defensivstark
King Samuel Manu,Energie Cottbus,3.Liga DE,GER - 3. Liga,Central Defender,DACH,23,U23,vollständig,28.61,🟠 MEDIUM,1.0,0.07,422.14,133.85,555.99,0.55,0.0,🔽 LOW,-250.8,298.01,98.05,396.06,0.46,1.0,❌ NO,-69.0,0.65,0.71,1.37,1.92,4.0,-0.01,5.5,0.643,AVERAGE,🔴 RISIKO,0.564,AVERAGE,0.879,STRONG,0.285,BELOW,0.772,STRONG,0.771,STRONG,0.549,AVERAGE,0.425,BELOW,0.281,BELOW,0.562,AVERAGE,,,,,,,,,,,,,,,,,,,2277,Defensivstark
Phil Kroll,Unterrath U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,19,U21,vollständig,29.88,🟠 MEDIUM,1.0,1.34,710.32,207.12,917.44,0.6,3.0,🔼 HIGH,37.4,356.68,81.82,438.5,0.18,0.0,❌ NO,-10.4,0.58,0.88,1.77,2.3,1.0,-0.08,5.5,0.447,BELOW,🔴 RISIKO,0.13,WEAK,,,,,0.134,WEAK,0.111,WEAK,0.931,ELITE,0.569,AVERAGE,,,0.06,WEAK,0.66,AVERAGE,0.845,STRONG,0.795,STRONG,,,,,,,,,,,,,541,Offensiver AV
Joel Abuzer Gezer,Bochum U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,18,U21,vollständig,27.22,—,0.0,-1.32,760.08,147.92,908.01,0.0,2.0,➡ MEDIUM,87.1,473.93,99.48,573.41,0.0,2.0,✅ YES,106.9,0.71,0.68,,2.17,1.0,0.05,5.5,0.662,AVERAGE,🔴 RISIKO,,,,,,,0.769,STRONG,0.644,AVERAGE,0.625,AVERAGE,,,,,0.843,STRONG,0.249,WEAK,0.634,AVERAGE,,,0.225,WEAK,,,,,,,,,,,328,Spielmacher
Calvin Rahr,St. Pauli II,RL Nord,GER - Regionalliga Nord,Central Defender,DACH,19,U21,vollständig,28.16,—,0.0,-0.38,517.82,146.25,664.06,0.74,1.0,🔽 LOW,-155.1,350.7,105.8,456.5,0.55,2.0,✅ YES,-16.4,0.6,0.6,1.28,2.07,3.0,-0.06,5.5,0.129,WEAK,🔴 RISIKO,0.553,AVERAGE,0.366,BELOW,0.117,WEAK,0.266,BELOW,0.133,WEAK,0.644,AVERAGE,0.255,BELOW,0.087,WEAK,0.315,BELOW,,,,,,,,,,,,,,,,,,,1316,Spielaufbauer
Daniel Elfadli,Hamburger SV,BL DE,GER - Bundesliga,Central Defender,DACH,29,24+,vollständig,28.72,🟠 MEDIUM,1.0,0.18,483.83,152.16,635.99,0.58,0.0,🔽 LOW,-189.1,278.83,96.44,375.27,0.57,1.0,❌ NO,-88.2,0.66,0.7,1.36,1.84,4.0,0.0,5.5,0.106,WEAK,🔴 RISIKO,0.213,WEAK,0.912,ELITE,0.345,BELOW,0.126,WEAK,0.173,WEAK,0.027,WEAK,0.582,AVERAGE,0.115,WEAK,0.052,WEAK,,,,,,,,,,,,,,,,,,,1328,Allrounder
Amir El-Abdouni,Schalke 04 U17,U17 BL,GER - U17 Bundesliga,Central Defender,DACH,17,U21,vollständig,28.76,🟠 MEDIUM,1.0,0.22,406.81,138.78,545.6,0.35,0.0,🔽 LOW,-266.1,316.97,112.36,429.33,0.38,2.0,✅ YES,-50.1,0.71,0.87,1.3,2.1,1.0,0.05,5.5,0.513,AVERAGE,🔴 RISIKO,0.734,AVERAGE,0.967,ELITE,0.112,WEAK,0.72,AVERAGE,0.349,BELOW,0.264,BELOW,0.697,AVERAGE,0.178,WEAK,0.566,AVERAGE,,,,,,,,,,,,,,,,,,,857,Defensivstark
Samed Bahar,Buchbach,RL Bayern,GER - Regionalliga Bayern,Midfielder,DACH,29,24+,vollständig,28.09,—,0.0,-0.45,650.77,162.4,813.17,0.22,0.0,🔽 LOW,-22.2,385.27,107.17,492.44,0.24,3.0,✅ YES,18.2,0.55,0.62,1.77,2.01,2.0,-0.11,5.5,0.946,ELITE,🔴 RISIKO,,,,,,,0.805,STRONG,0.918,ELITE,0.941,ELITE,,,,,0.815,STRONG,0.083,WEAK,0.857,STRONG,,,0.943,ELITE,,,,,,,,,,,1460,Spielmacher
Kian Badrei,Blumenthaler SV U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,18,U21,vollständig,27.25,—,0.0,-1.29,792.06,135.14,927.2,0.41,2.0,➡ MEDIUM,119.1,381.89,54.34,436.23,0.13,1.0,❌ NO,14.8,0.61,0.71,1.31,1.92,4.0,-0.05,5.5,0.544,AVERAGE,🔴 RISIKO,,,,,,,0.536,AVERAGE,0.702,AVERAGE,0.611,AVERAGE,,,,,0.599,AVERAGE,0.342,BELOW,0.49,BELOW,,,0.384,BELOW,,,,,,,,,,,767,Vorwärtsdribbler
