Spieler,Verein,Liga,Competition,Position,Markt,Alter,Altersband,Datenquelle,PSV-99,Speed Flag,Speed Score,Δ PSV-99,HSR Distance P60BIP,Sprint Distance P60BIP,HI Distance BIP P60BIP,Explosive Acceleration to Sprint Count P60BIP,BIP Score,BIP Level,Δ HSR BIP,HSR Distance OTIP P30OTIP,Sprint Distance OTIP P30OTIP,HI Distance OTIP P30OTIP,Explosive Acceleration to Sprint Count OTIP P30OTIP,OTIP Score,OTIP Pass,Δ HSR OTIP,TOP 3 Time to HSR,TOP 3 Time to HSR post-COD,TOP 3 Time to Sprint,TOP 3 Time to 505 around 90,Burst Score,Δ T→HSR,Physical Score,IFI Percentile,IFI Label,Final Tier,Pct_Territorial dominance,Lbl_Territorial dominance,Pct_Composure,Lbl_Composure,Pct_Aerial threat,Lbl_Aerial threat,Pct_Intelligent defence,Lbl_Intelligent defence,Pct_Involvement,Lbl_Involvement,Pct_Progression,Lbl_Progression,Pct_Chance prevention,Lbl_Chance prevention,Pct_Defensive heading,Lbl_Defensive heading,Pct_Active defence,Lbl_Active defence,Pct_Providing teammates,Lbl_Providing teammates,Pct_Passing quality,Lbl_Passing quality,Pct_Run quality,Lbl_Run quality,Pct_Box threat,Lbl_Box threat,Pct_Poaching,Lbl_Poaching,Pct_Finishing,Lbl_Finishing,Pct_Hold-up play,Lbl_Hold-up play,Pct_Pressing,Lbl_Pressing,Pct_Dribbling,Lbl_Dribbling,Minuten,Spielertyp
Keziah Oteng-Mensah,Eintracht Frankfurt U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,18,U21,vollständig,31.13,🔵 HIGH,3.0,2.59,821.95,397.06,1219.01,1.78,4.0,🔼 HIGH,149.0,371.4,130.79,502.19,0.42,4.0,✅ YES,4.3,0.57,0.61,1.32,1.92,4.0,-0.09,18.0,0.869,STRONG,🔥 ELITE TARGET,,,,,,,,,0.611,AVERAGE,,,,,,,,,0.841,STRONG,0.62,AVERAGE,0.88,STRONG,0.993,ELITE,,,0.989,ELITE,,,0.129,WEAK,0.515,AVERAGE,553,Tiefenläufer + Box
Luca  Pervelz,Blumenthaler SV U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,18,U21,vollständig,31.87,🔵 HIGH,3.0,3.33,717.38,435.52,1152.9,2.18,4.0,🔼 HIGH,44.4,373.71,166.22,539.93,1.11,4.0,✅ YES,6.7,0.62,0.63,1.22,1.91,4.0,-0.04,18.0,0.24,WEAK,🟡 WATCHLIST,,,,,,,,,0.006,WEAK,,,,,,,,,0.041,WEAK,0.03,WEAK,0.828,STRONG,0.859,STRONG,,,0.967,ELITE,,,0.145,WEAK,0.109,WEAK,427,Tiefenläufer + Box
Mitchy-Yorham Ntelo Mbala,Yverdon Sport,SUI CL,SUI - Challenge League,Winger,DACH,25,24+,vollständig,33.12,⚡ ELITE,4.0,4.58,705.51,382.23,1087.73,1.88,4.0,🔼 HIGH,32.6,536.43,244.76,781.19,1.02,4.0,✅ YES,169.4,0.75,0.79,1.48,2.07,0.0,0.09,18.0,0.601,AVERAGE,🔥 ELITE TARGET,,,,,,,,,0.523,AVERAGE,,,,,,,,,0.908,ELITE,0.813,STRONG,0.867,STRONG,0.145,WEAK,,,0.159,WEAK,,,0.171,WEAK,0.794,STRONG,270,Läufer + Dribbler
Mark Radoki,Schwaben Augsburg,RL Bayern,GER - Regionalliga Bayern,Striker,DACH,25,24+,vollständig,31.1,🔵 HIGH,3.0,2.56,753.53,397.11,1150.64,2.49,4.0,🔼 HIGH,80.6,373.92,173.16,547.08,0.81,4.0,✅ YES,6.9,0.58,0.69,1.15,1.91,4.0,-0.08,18.0,0.129,WEAK,🟡 WATCHLIST,,,,,0.664,AVERAGE,,,0.092,WEAK,,,,,,,,,0.232,WEAK,,,0.756,STRONG,,,0.234,WEAK,0.302,BELOW,0.383,BELOW,0.132,WEAK,,,1221,Kopfballstürmer
Chivano Wijks,Bayern München U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,18,U21,vollständig,31.84,🔵 HIGH,3.0,3.3,804.39,428.64,1233.02,3.28,4.0,🔼 HIGH,131.4,548.27,214.51,762.78,1.22,4.0,✅ YES,181.2,0.58,0.64,1.12,1.95,4.0,-0.08,18.0,0.954,ELITE,🔥 ELITE TARGET,0.984,ELITE,,,,,0.744,AVERAGE,0.551,AVERAGE,0.736,AVERAGE,0.758,STRONG,,,0.986,ELITE,0.734,AVERAGE,0.765,STRONG,0.73,AVERAGE,,,,,,,,,,,,,733,Offensiver AV
Lasse Günther,Elversberg,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Fullback,DACH,23,U23,vollständig,31.35,🔵 HIGH,3.0,2.81,794.52,389.46,1183.99,1.82,4.0,🔼 HIGH,121.6,386.56,114.57,501.13,0.52,4.0,✅ YES,19.5,0.63,0.63,1.15,1.89,4.0,-0.03,18.0,0.7,AVERAGE,🔥 ELITE TARGET,0.266,BELOW,,,,,0.36,BELOW,0.507,AVERAGE,0.611,AVERAGE,0.664,AVERAGE,,,0.286,BELOW,0.943,ELITE,0.852,STRONG,0.852,STRONG,,,,,,,,,,,,,1412,Offensiver AV
Ousseynou Sene,Étoile Carouge,SUI CL,SUI - Challenge League,Winger,DACH,24,24+,vollständig,31.22,🔵 HIGH,3.0,2.68,920.93,439.45,1360.38,2.31,4.0,🔼 HIGH,248.0,497.78,182.91,680.7,0.53,4.0,✅ YES,130.7,0.61,0.65,1.2,1.72,4.0,-0.05,18.0,0.09,WEAK,🟡 WATCHLIST,,,,,,,,,0.337,BELOW,,,,,,,,,0.075,WEAK,0.257,BELOW,0.556,AVERAGE,0.213,WEAK,,,0.01,WEAK,,,0.338,BELOW,0.275,BELOW,1150,Allrounder
Aboubacar  Camara,Liefering,AUT 2.L,AUT - 2. Liga,Striker,DACH,20,U21,vollständig,31.29,🔵 HIGH,3.0,2.75,899.69,529.94,1429.63,3.89,4.0,🔼 HIGH,226.7,463.84,273.21,737.05,2.28,4.0,✅ YES,96.8,0.6,0.65,1.2,1.88,4.0,-0.06,18.0,0.538,AVERAGE,🔥 ELITE TARGET,,,,,0.181,WEAK,,,0.77,STRONG,,,,,,,,,0.943,ELITE,,,0.97,ELITE,,,0.495,BELOW,0.006,WEAK,0.115,WEAK,0.632,AVERAGE,,,1086,Allrounder
Aliou Badara Baldé,St. Gallen,SUI SL,SUI - Super League,Striker,DACH,24,24+,vollständig,31.31,🔵 HIGH,3.0,2.77,882.51,496.98,1379.48,4.58,4.0,🔼 HIGH,209.6,404.67,194.47,599.14,1.95,4.0,✅ YES,37.6,0.58,0.59,1.06,1.76,4.0,-0.08,18.0,0.388,BELOW,🟡 WATCHLIST,,,,,0.449,BELOW,,,0.461,BELOW,,,,,,,,,0.482,BELOW,,,0.993,ELITE,,,0.448,BELOW,0.203,WEAK,0.398,BELOW,0.293,BELOW,,,2005,Allrounder
Bismark Adomah,Freiburg U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,19,U21,vollständig,31.24,🔵 HIGH,3.0,2.7,1037.14,450.75,1487.89,2.84,4.0,🔼 HIGH,364.2,661.68,286.17,947.85,1.21,4.0,✅ YES,294.6,0.65,0.65,1.27,1.92,4.0,-0.01,18.0,0.617,AVERAGE,🔥 ELITE TARGET,,,,,,,,,0.156,WEAK,,,,,,,,,0.525,AVERAGE,0.115,WEAK,0.987,ELITE,0.854,STRONG,,,0.303,BELOW,,,0.578,AVERAGE,0.911,ELITE,376,Komplettflügel
